tweet_id,favorites,retweets,date_time
788039637453406209,6058,1292,2016-10-17 15:31:05+00:00
787810552592695296,8523,3008,2016-10-17 00:20:47+00:00
787717603741622272,10154,2747,2016-10-16 18:11:26+00:00
787397959788929025,10779,2816,2016-10-15 21:01:17+00:00
787322443945877504,7696,1722,2016-10-15 16:01:13+00:00
787111942498508800,0,6662,2016-10-15 02:04:45+00:00
786963064373534720,26333,7864,2016-10-14 16:13:10+00:00
786729988674449408,0,2397,2016-10-14 00:47:00+00:00
786709082849828864,18063,6038,2016-10-13 23:23:56+00:00
786664955043049472,10482,2505,2016-10-13 20:28:35+00:00
786595970293370880,9344,3089,2016-10-13 15:54:28+00:00
786363235746385920,10769,3430,2016-10-13 00:29:39+00:00
786286427768250368,7885,2790,2016-10-12 19:24:27+00:00
786233965241827333,15053,4650,2016-10-12 15:55:59+00:00
786051337297522688,1410,154,2016-10-12 03:50:17+00:00
786036967502913536,0,6892,2016-10-12 02:53:11+00:00
785927819176054784,11252,3143,2016-10-11 19:39:28+00:00
785872687017132033,6628,1780,2016-10-11 16:00:24+00:00
785639753186217984,7781,2208,2016-10-11 00:34:48+00:00
785533386513321988,8990,1962,2016-10-10 17:32:08+00:00
785515384317313025,6042,1238,2016-10-10 16:20:36+00:00
785264754247995392,7178,1597,2016-10-09 23:44:41+00:00
785170936622350336,11875,4750,2016-10-09 17:31:53+00:00
784826020293709826,9982,3195,2016-10-08 18:41:19+00:00
784517518371221505,8862,2484,2016-10-07 22:15:26+00:00
784431430411685888,5656,1253,2016-10-07 16:33:21+00:00
784183165795655680,19797,7915,2016-10-07 00:06:50+00:00
784057939640352768,29368,10923,2016-10-06 15:49:14+00:00
783839966405230592,29605,10622,2016-10-06 01:23:05+00:00
783821107061198850,7277,1933,2016-10-06 00:08:09+00:00
783695101801398276,10338,3166,2016-10-05 15:47:27+00:00
783466772167098368,8340,2197,2016-10-05 00:40:09+00:00
783391753726550016,16675,5366,2016-10-04 19:42:03+00:00
783347506784731136,0,5451,2016-10-04 16:46:14+00:00
783334639985389568,28732,11488,2016-10-04 15:55:06+00:00
783085703974514689,8055,2159,2016-10-03 23:25:55+00:00
782969140009107456,23831,7244,2016-10-03 15:42:44+00:00
782747134529531904,7374,1389,2016-10-03 01:00:34+00:00
782722598790725632,17013,5300,2016-10-02 23:23:04+00:00
782598640137187329,7698,1841,2016-10-02 15:10:30+00:00
782305867769217024,16420,5445,2016-10-01 19:47:08+00:00
782021823840026624,0,6091,2016-10-01 00:58:26+00:00
781955203444699136,10985,3318,2016-09-30 20:33:43+00:00
781661882474196992,10303,2672,2016-09-30 01:08:10+00:00
781655249211752448,3937,1111,2016-09-30 00:41:48+00:00
781524693396357120,20472,5465,2016-09-29 16:03:01+00:00
781308096455073793,7049,2512,2016-09-29 01:42:20+00:00
781251288990355457,8295,2042,2016-09-28 21:56:36+00:00
781163403222056960,9674,2711,2016-09-28 16:07:23+00:00
780931614150983680,21296,7161,2016-09-28 00:46:20+00:00
780858289093574656,7089,1968,2016-09-27 19:54:58+00:00
780800785462489090,5403,1276,2016-09-27 16:06:28+00:00
780601303617732608,11923,3300,2016-09-27 02:53:48+00:00
780543529827336192,6204,1716,2016-09-26 23:04:13+00:00
780496263422808064,0,3601,2016-09-26 19:56:24+00:00
780476555013349377,0,109,2016-09-26 18:38:05+00:00
780459368902959104,5211,1056,2016-09-26 17:29:48+00:00
780192070812196864,8564,2199,2016-09-25 23:47:39+00:00
780092040432480260,0,2255,2016-09-25 17:10:10+00:00
780074436359819264,11948,4859,2016-09-25 16:00:13+00:00
779834332596887552,18572,6892,2016-09-25 00:06:08+00:00
